Date,Day,Time_A,BS_A,Lat_A,Lng_A,Time_B,BS_B,Lat_B,Lng_B,Duration(h),Route
1/12/2018,Saturday,9:43:10 AM,1000,1.66246,103.59877,9:46:10 AM,1001,1.6613,103.60363,0.05,1
1/12/2018,Saturday,9:46:10 AM,1001,1.6613,103.60363,9:50:11 AM,1003,1.65196,103.61057,0.06694444444444445,1
1/12/2018,Saturday,9:50:11 AM,1003,1.65196,103.61057,9:52:12 AM,1004,1.64961,103.61234,0.03361111111111111,1
1/12/2018,Saturday,9:52:12 AM,1004,1.64961,103.61234,9:56:13 AM,1006,1.63998,103.62432,0.06694444444444445,1
1/12/2018,Saturday,9:56:13 AM,1006,1.63998,103.62432,9:58:13 AM,1007,1.63553,103.63013,0.03333333333333333,1
1/12/2018,Saturday,9:58:13 AM,1007,1.63553,103.63013,10:10:02 AM,1012,1.60172,103.64516,0.19694444444444445,1
1/12/2018,Saturday,10:10:02 AM,1012,1.60172,103.64516,10:13:03 AM,1018,1.54469,103.65764,0.050277777777777775,1
1/12/2018,Saturday,10:13:03 AM,1018,1.54469,103.65764,10:15:03 AM,1019,1.53954,103.66081,0.03333333333333333,1
1/12/2018,Saturday,10:15:03 AM,1019,1.53954,103.66081,10:17:04 AM,1021,1.5284,103.67051,0.03361111111111111,1
1/12/2018,Saturday,10:17:04 AM,1021,1.5284,103.67051,10:19:04 AM,1022,1.52329,103.67911,0.03333333333333333,1
1/12/2018,Saturday,10:19:04 AM,1022,1.52329,103.67911,10:22:05 AM,1025,1.50875,103.68927,0.050277777777777775,1
1/12/2018,Saturday,10:22:05 AM,1025,1.50875,103.68927,10:25:06 AM,1028,1.49729,103.70112,0.050277777777777775,1
1/12/2018,Saturday,10:25:06 AM,1028,1.49729,103.70112,10:30:07 AM,1030,1.4754,103.72467,0.08361111111111111,1
1/12/2018,Saturday,10:30:07 AM,1030,1.4754,103.72467,10:35:08 AM,1035,1.45536,103.76162,0.08361111111111111,1
1/12/2018,Saturday,10:35:08 AM,1035,1.45536,103.76162,11:07:16 AM,1036,1.46434,103.7641,0.06694444444444445,1
1/12/2018,Saturday,11:07:16 AM,1037,1.46434,103.7641,11:20:19 AM,1045,1.49773,103.69997,0.2175,2
1/12/2018,Saturday,11:20:19 AM,1045,1.49773,103.69997,11:23:20 AM,1046,1.50798,103.68946,0.050277777777777775,2
1/12/2018,Saturday,11:23:20 AM,1046,1.50798,103.68946,11:27:21 AM,1049,1.52805,103.67071,0.06694444444444445,2
1/12/2018,Saturday,11:27:21 AM,1049,1.52805,103.67071,11:28:21 AM,1050,1.53595,103.66402,0.016666666666666666,2
1/12/2018,Saturday,11:28:21 AM,1050,1.53595,103.66402,11:30:22 AM,1052,1.53976,103.66047,0.03361111111111111,2
1/12/2018,Saturday,11:30:22 AM,1052,1.53976,103.66047,11:41:25 AM,1057,1.60179,103.6451,0.18416666666666667,2
1/12/2018,Saturday,11:41:25 AM,1057,1.60179,103.6451,11:42:25 AM,1059,1.61283,103.64722,0.016666666666666666,2
1/12/2018,Saturday,11:42:25 AM,1059,1.61283,103.64722,12:48:11 PM,1071,1.66246,103.59877,0.3597222222222222,2
1/12/2018,Saturday,12:48:11 PM,1000,1.66246,103.59877,12:50:12 PM,1001,1.66176,103.60205,0.03361111111111111,1
1/12/2018,Saturday,12:50:12 PM,1001,1.66176,103.60205,12:53:12 PM,1002,1.65305,103.61006,0.05,1
1/12/2018,Saturday,12:53:12 PM,1002,1.65305,103.61006,12:54:13 PM,1003,1.65093,103.61135,0.016944444444444446,1
1/12/2018,Saturday,12:54:13 PM,1003,1.65093,103.61135,12:55:13 PM,1004,1.64837,103.61323,0.016666666666666666,1
1/12/2018,Saturday,12:55:13 PM,1004,1.64837,103.61323,12:56:13 PM,1005,1.64534,103.61631,0.016666666666666666,1
1/12/2018,Saturday,12:56:13 PM,1005,1.64534,103.61631,12:58:14 PM,1006,1.63933,103.62515,0.03361111111111111,1
1/12/2018,Saturday,12:58:14 PM,1006,1.63933,103.62515,1:00:00 PM,1007,1.63511,103.63069,0.029444444444444443,1
1/12/2018,Saturday,1:00:00 PM,1007,1.63511,103.63069,1:02:00 PM,1009,1.62797,103.63869,0.03333333333333333,1
1/12/2018,Saturday,1:02:00 PM,1009,1.62797,103.63869,1:12:03 PM,1012,1.60172,103.64516,0.1675,1
1/12/2018,Saturday,1:12:03 PM,1012,1.60172,103.64516,1:14:03 PM,1018,1.54514,103.65748,0.03333333333333333,1
1/12/2018,Saturday,1:14:03 PM,1018,1.54514,103.65748,1:16:04 PM,1019,1.54068,103.65978,0.03361111111111111,1
1/12/2018,Saturday,1:16:04 PM,1019,1.54068,103.65978,1:21:05 PM,1023,1.51888,103.68223,0.08361111111111111,1
1/12/2018,Saturday,1:21:05 PM,1023,1.51888,103.68223,1:22:05 PM,1026,1.50093,103.69567,0.016666666666666666,1
1/12/2018,Saturday,1:22:05 PM,1026,1.50093,103.69567,1:23:05 PM,1027,1.49817,103.69963,0.016666666666666666,1
1/12/2018,Saturday,1:23:05 PM,1027,1.49817,103.69963,2:10:02 PM,1036,1.46264,103.76566,0.31805555555555554,1
1/12/2018,Saturday,2:10:02 PM,1037,1.46264,103.76566,2:17:04 PM,1042,1.47537,103.72454,0.11722222222222223,2
1/12/2018,Saturday,2:17:04 PM,1042,1.47537,103.72454,2:20:04 PM,1043,1.48928,103.71211,0.05,2
1/12/2018,Saturday,2:20:04 PM,1043,1.48928,103.71211,2:22:05 PM,1045,1.49608,103.70214,0.03361111111111111,2
1/12/2018,Saturday,2:22:05 PM,1045,1.49608,103.70214,2:27:06 PM,1046,1.50847,103.68906,0.08361111111111111,2
1/12/2018,Saturday,2:27:06 PM,1046,1.50847,103.68906,2:32:07 PM,1051,1.53757,103.66255,0.08361111111111111,2
1/12/2018,Saturday,2:32:07 PM,1051,1.53757,103.66255,2:35:08 PM,1052,1.53976,103.66047,0.050277777777777775,2
1/12/2018,Saturday,2:35:08 PM,1052,1.53976,103.66047,2:37:09 PM,1053,1.5448,103.65738,0.03361111111111111,2
1/12/2018,Saturday,2:37:09 PM,1053,1.5448,103.65738,2:40:09 PM,1057,1.60179,103.6451,0.05,2
1/12/2018,Saturday,2:40:09 PM,1057,1.60179,103.6451,3:09:02 PM,1071,1.66246,103.59877,0.48138888888888887,2
1/12/2018,Saturday,3:48:11 PM,1001,1.66176,103.60205,3:50:12 PM,1002,1.65305,103.61006,0.03361111111111111,1
1/12/2018,Saturday,3:50:12 PM,1002,1.65305,103.61006,3:51:12 PM,1003,1.64982,103.61218,0.016666666666666666,1
1/12/2018,Saturday,3:51:12 PM,1003,1.64982,103.61218,3:52:12 PM,1005,1.64534,103.61631,0.016666666666666666,1
1/12/2018,Saturday,3:52:12 PM,1005,1.64534,103.61631,3:54:13 PM,1006,1.63998,103.62432,0.03361111111111111,1
1/12/2018,Saturday,3:54:13 PM,1006,1.63998,103.62432,4:11:02 PM,1012,1.60172,103.64516,0.2802777777777778,1
1/12/2018,Saturday,4:11:02 PM,1012,1.60172,103.64516,5:07:01 PM,1036,1.46291,103.76502,0.9330555555555555,1
1/12/2018,Saturday,5:08:01 PM,1037,1.4628,103.76509,5:40:09 PM,1040,1.45941,103.73819,0.5355555555555556,2
1/12/2018,Saturday,5:40:09 PM,1040,1.45941,103.73819,5:44:10 PM,1053,1.54321,103.65805,0.06694444444444445,2
1/12/2018,Saturday,5:44:10 PM,1053,1.54321,103.65805,6:18:04 PM,1057,1.60032,103.64469,0.565,2
1/12/2018,Saturday,6:18:04 PM,1057,1.60032,103.64469,6:21:05 PM,1059,1.61283,103.64722,0.050277777777777775,2
1/12/2018,Saturday,6:21:05 PM,1059,1.61283,103.64722,6:24:06 PM,1061,1.62911,103.63739,0.050277777777777775,2
1/12/2018,Saturday,6:24:06 PM,1061,1.62911,103.63739,6:25:06 PM,1062,1.63185,103.6344,0.016666666666666666,2
1/12/2018,Saturday,6:25:06 PM,1062,1.63185,103.6344,6:26:06 PM,1063,1.63311,103.63295,0.016666666666666666,2
1/12/2018,Saturday,6:26:06 PM,1063,1.63311,103.63295,6:29:07 PM,1064,1.6356,103.62987,0.050277777777777775,2
1/12/2018,Saturday,6:29:07 PM,1064,1.6356,103.62987,6:32:07 PM,1065,1.64042,103.62361,0.05,2
1/12/2018,Saturday,6:32:07 PM,1065,1.64042,103.62361,6:33:08 PM,1067,1.6483,103.61312,0.016944444444444446,2
1/12/2018,Saturday,6:33:08 PM,1067,1.6483,103.61312,6:36:08 PM,1068,1.65071,103.61132,0.05,2
1/12/2018,Saturday,6:36:08 PM,1068,1.65071,103.61132,6:37:09 PM,1069,1.65415,103.60958,0.016944444444444446,2
1/12/2018,Saturday,6:37:09 PM,1069,1.65415,103.60958,6:48:11 PM,1071,1.66272,103.59971,0.10027777777777777,2
1/12/2018,Saturday,6:48:11 PM,1000,1.66272,103.59971,7:00:01 PM,1003,1.65093,103.61135,0.19722222222222222,1
1/12/2018,Saturday,7:00:01 PM,1003,1.65093,103.61135,7:01:01 PM,1004,1.64837,103.61323,0.016666666666666666,1
1/12/2018,Saturday,7:01:01 PM,1004,1.64837,103.61323,7:21:06 PM,1018,1.54469,103.65764,0.3347222222222222,1
1/12/2018,Saturday,7:21:06 PM,1018,1.54469,103.65764,7:23:05 PM,1019,1.54127,103.65929,0.03305555555555555,1
1/12/2018,Saturday,7:23:05 PM,1019,1.54127,103.65929,7:29:08 PM,1021,1.5284,103.67051,0.10083333333333333,1
1/12/2018,Saturday,7:29:08 PM,1021,1.5284,103.67051,7:30:08 PM,1023,1.52061,103.681,0.016666666666666666,1
1/12/2018,Saturday,7:30:08 PM,1023,1.52061,103.681,7:39:09 PM,1027,1.49894,103.6985,0.1502777777777778,1
1/12/2018,Saturday,7:39:09 PM,1027,1.49894,103.6985,7:40:11 PM,1028,1.497,103.70157,0.017222222222222222,1
1/12/2018,Saturday,7:40:11 PM,1028,1.497,103.70157,7:47:11 PM,1031,1.46267,103.73198,0.11666666666666667,1
1/12/2018,Saturday,7:47:11 PM,1031,1.46267,103.73198,7:50:13 PM,1035,1.45579,103.76312,0.050555555555555555,1
1/12/2018,Saturday,7:50:13 PM,1035,1.45579,103.76312,8:13:03 PM,1036,1.46368,103.76511,0.08388888888888889,1
1/12/2018,Saturday,8:13:03 PM,1037,1.46368,103.76511,8:21:05 PM,1042,1.47246,103.72525,0.1338888888888889,2
1/12/2018,Saturday,8:21:05 PM,1042,1.47246,103.72525,8:24:05 PM,1043,1.48867,103.71298,0.05,2
1/12/2018,Saturday,8:24:05 PM,1043,1.48867,103.71298,8:26:06 PM,1045,1.49608,103.70214,0.03361111111111111,2
