bus_stop_code,current_time,duration,hour,round,day,minute,time
0100501006,16:08:00,120,16,0,6,8,21
0100601007,16:10:00,121,16,0,6,10,21
0100701008,16:12:01,120,16,0,6,12,22
0100801011,16:14:01,240,16,0,6,14,22
0101101012,16:18:01,120,16,0,6,18,22
0101201013,16:20:01,60,16,0,6,20,22
0101301018,16:21:01,301,16,0,6,21,22
0101801020,16:26:02,300,16,0,6,26,22
0102001021,16:31:02,301,16,0,6,31,22
0102101022,16:36:03,240,16,0,6,36,22
0102201025,16:40:03,240,16,0,6,40,23
0102501027,16:44:03,181,16,0,6,44,23
0102701028,16:47:04,60,16,0,6,47,23
0102801029,16:48:04,180,16,0,6,48,23
0102901036,16:51:04,3300,16,0,6,51,23
0103701043,17:56:04,121,17,0,6,56,25
0104301045,17:58:05,175,17,0,6,58,25
0104501046,18:01:00,299,18,0,6,1,25
0104601053,18:05:59,422,18,0,6,5,25
0105301057,18:13:01,479,18,0,6,13,26
0105701059,18:21:00,122,18,0,6,21,26
0105901071,18:23:02,1020,18,0,6,23,26
0100001001,18:58:05,355,18,0,6,58,27
0100101002,19:04:00,240,19,0,6,4,27
0100201003,19:08:00,60,19,0,6,8,27
0100301004,19:09:00,60,19,0,6,9,27
0100401006,19:10:00,181,19,0,6,10,27
0100601007,19:13:01,60,19,0,6,13,28
0100701012,19:14:01,661,19,0,6,14,28
0101201018,19:25:02,120,19,0,6,25,28
0101801036,19:27:02,2038,19,0,6,27,28
0103701041,20:20:01,361,20,0,6,20,30
0104101053,20:26:02,180,20,0,6,26,30
0105301071,20:29:02,2518,20,0,6,29,30
0100001001,07:25:11,121,7,0,0,25,4
0100101002,07:27:12,180,7,0,0,27,4
0100201003,07:30:12,60,7,0,0,30,4
0100301004,07:31:12,60,7,0,0,31,4
0100401005,07:32:12,60,7,0,0,32,4
0100501006,07:33:12,120,7,0,0,33,4
0100601007,07:35:12,120,7,0,0,35,4
0100701012,07:37:12,722,7,0,0,37,4
0101201036,07:49:14,2148,7,0,0,49,5
0103701041,08:43:03,541,8,0,0,43,7
0104101042,08:52:04,120,8,0,0,52,7
0104201046,08:54:04,241,8,0,0,54,7
0104601050,08:58:05,295,8,0,0,58,7
0105001052,09:03:00,60,9,0,0,3,7
0105201057,09:04:00,601,9,0,0,4,7
0105701059,09:14:01,120,9,0,0,14,8
0105901071,09:16:01,1020,9,0,0,16,8
0100001001,10:01:00,180,10,0,0,1,9
0100101002,10:04:00,180,10,0,0,4,9
0100201003,10:07:00,60,10,0,0,7,9
0100301006,10:08:00,241,10,0,0,8,9
0100601012,10:12:01,420,10,0,0,12,10
0101201014,10:19:01,120,10,0,0,19,10
0101401018,10:21:01,301,10,0,0,21,10
0101801021,10:26:02,360,10,0,0,26,10
0102101025,10:32:02,241,10,0,0,32,10
0102501028,10:36:03,180,10,0,0,36,10
0102801031,10:39:03,120,10,0,0,39,10
0103101035,10:41:03,541,10,0,0,41,11
0103501036,10:50:04,836,10,0,0,50,11
0103701043,11:16:01,961,11,0,0,16,12
0104301046,11:32:02,361,11,0,0,32,12
0104601048,11:38:03,180,11,0,0,38,12
0104801053,11:41:03,240,11,0,0,41,13
0105301057,11:45:03,661,11,0,0,45,13
0105701059,11:56:04,61,11,0,0,56,13
0105901062,11:57:05,235,11,0,0,57,13
0106201071,12:01:00,1141,12,0,0,1,13
0100001001,12:45:03,61,12,0,0,45,15
0100101003,12:46:04,240,12,0,0,46,15
0100301005,12:50:04,120,12,0,0,50,15
0100501006,12:52:04,180,12,0,0,52,15
0100601007,12:55:04,181,12,0,0,55,15
