Stop1,Stop2,Distance
1000,1001,0.579288937
1001,1002,1.121594794
1002,1003,0.409417722
1003,1004,0.353152683
1004,1005,0.489215255
1005,1006,1.074354404
1006,1007,0.746998489
1007,1008,0.494573537
1008,1009,0.843732102
1009,1010,1.202573128
1010,1011,0.88730093
1011,1012,1.349996543
1012,1013,0.536855073
1013,1014,0.724319253
1014,1015,2.649074
1015,1016,0.728262963
1016,1017,1.228532963
1017,1018,1.07407987
1018,1019,0.509148532
1019,1020,0.774119706
1020,1021,1.067701649
1021,1022,1.256709257
1022,1023,0.402130873
1023,1024,0.994347568
1024,1025,0.440933721
1025,1026,1.1626318
1026,1027,0.439848906
1027,1028,0.327010421
1028,1029,1.424709813
1029,1030,2.4078441
1030,1031,1.499213862
1031,1032,0.986874229
1032,1033,0.949377809
1033,1034,0.257827246
1034,1035,1.519516917
1035,1036,1.17421953
